WBAN,DewPointCelsius,DryBulbCelsius,RelativeHumidity,Visibility,WetBulbCelsius,WindDirection,WindSpeed,Latitude,Longitude,StationHeight,features,prediction
3749,4.9041290675416995,12.499083948591743,63.47320207820618,13.748165162701724,8.967692097347555,233.38255400601585,13.367701668033908,39.64500000000031,-77.4680000000005,561.4400000000018,"[4.9041290675416995,12.499083948591743,63.47320207820618,13.748165162701724,8.967692097347555,233.38255400601585,13.367701668033908,39.64500000000031,-77.4680000000005,561.4400000000018]",3
3918,7.812,16.03709090909091,60.38909090909091,14.945768181818265,11.56297272727273,113.29818181818182,6.010627272727268,36.29083000000048,-92.58999999999855,219.1499999999975,"[7.812,16.03709090909091,60.38909090909091,14.945768181818265,11.56297272727273,113.29818181818182,6.010627272727268,36.29083000000048,-92.58999999999855,219.1499999999975]",0
3997,5.6112037793071305,12.046798087017384,67.83296395660795,14.15039251137298,8.764749795870754,171.22535868424123,13.22342120611222,39.00777999999992,-95.21166999999892,253.58999999999716,"[5.6112037793071305,12.046798087017384,67.83296395660795,14.15039251137298,8.764749795870754,171.22535868424123,13.22342120611222,39.00777999999992,-95.21166999999892,253.58999999999716]",3
3179,7.512892968562516,17.294462443004555,59.93142548596112,13.019207463402978,12.122744180465562,144.65022798176145,8.149342452603786,33.97527999999976,-117.63611000000097,207.5700000000037,"[7.512892968562516,17.294462443004555,59.93142548596112,13.019207463402978,12.122744180465562,144.65022798176145,8.149342452603786,33.97527999999976,-117.63611000000097,207.5700000000037]",0
3704,9.21761829236056,13.99173936029606,76.44138250066085,14.673788659793912,11.582850911974642,139.62595823420565,7.014214908802529,36.68666999999947,-77.48277999999905,38.709999999999425,"[9.21761829236056,13.99173936029606,76.44138250066085,14.673788659793912,11.582850911974642,139.62595823420565,7.014214908802529,36.68666999999947,-77.48277999999905,38.709999999999425]",0
3703,11.332722176807211,15.814527618825187,77.42549340184515,14.935396473198754,13.436891276421818,153.98108139670677,10.283205068317175,36.027500000000124,-76.56693999999905,6.099999999999963,"[11.332722176807211,15.814527618825187,77.42549340184515,14.935396473198754,13.436891276421818,153.98108139670677,10.283205068317175,36.027500000000124,-76.56693999999905,6.099999999999963]",0
4725,2.6862011439466187,8.035033365109628,71.42457102001907,14.186791587226004,5.581827931363205,209.2153241182078,12.585794208770258,42.20679999999994,-75.980000000001,499.2600000000049,"[2.6862011439466187,8.035033365109628,71.42457102001907,14.186791587226004,5.581827931363205,209.2153241182078,12.585794208770258,42.20679999999994,-75.980000000001,499.2600000000049]",3
3124,-0.7123476548073326,17.388747999507576,36.46479133325126,15.92665209897832,8.767961344330914,170.37424596823834,13.365546596085196,31.5883299999998,-110.34416999999824,1431.9499999999828,"[-0.7123476548073326,17.388747999507576,36.46479133325126,15.92665209897832,8.767961344330914,170.37424596823834,13.365546596085196,31.5883299999998,-110.34416999999824,1431.9499999999828]",4
3026,0.8773115220483628,10.096680891417735,59.222083926031296,15.159033902323468,5.5456555239449985,199.50391180654339,19.332549786628764,39.24471999999965,-102.28416999999932,1285.3399999999929,"[0.8773115220483628,10.096680891417735,59.222083926031296,15.159033902323468,5.5456555239449985,199.50391180654339,19.332549786628764,39.24471999999965,-102.28416999999932,1285.3399999999929]",4
3936,5.8091148325358954,12.230107655502396,68.42511961722488,15.043082535885258,8.918032296650718,134.55382775119617,11.246769736842097,39.13460000000035,-96.67880000000083,326.1400000000056,"[5.8091148325358954,12.230107655502396,68.42511961722488,15.043082535885258,8.918032296650718,134.55382775119617,11.246769736842097,39.13460000000035,-96.67880000000083,326.1400000000056]",3
